name,commits,branches,contributors,watchers,stargazers,forks,createdAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests
rare-technologies/gensim,4391,19,383,435,13650,4274,2011-02-10 07:43:04,2022-10-29 08:37:26,1766,364,1625,32
django-extensions/django-extensions,3601,1,381,104,5907,1111,2009-03-21 04:11:19,2022-11-03 09:58:40,827,121,940,20
pyinstaller/pyinstaller,8505,4,380,233,9588,1836,2011-11-23 11:05:56,2022-10-08 09:14:46,4648,265,2029,15
tensorflow/models,8487,55,373,2817,74484,46037,2016-02-05 01:15:20,2022-10-04 12:42:32,6995,1110,3666,175
scrapy/scrapy,9292,51,372,1793,44573,9714,2010-02-22 02:01:14,2022-09-20 09:53:57,2693,519,2880,283
pypa/pipenv,7821,34,372,366,23318,1771,2017-01-20 12:44:02,2022-09-29 11:40:46,3769,245,1561,15
tiangolo/fastapi,2409,6,372,601,50004,3997,2018-12-08 08:21:47,2022-09-30 01:39:03,3106,1111,1853,405
sickchill/sickchill,12854,20,369,120,2250,622,2015-11-13 11:01:22,2022-10-01 05:36:51,5133,11,2920,0
spulec/moto,7006,13,368,67,6102,1712,2013-02-18 09:10:59,2022-09-23 07:08:25,2171,66,3318,21
lra/mackup,2234,3,368,143,12524,894,2013-04-06 07:22:54,2022-10-28 04:34:36,637,273,1230,81
openai/gym,1755,124,367,989,29058,8053,2016-04-27 02:59:16,2022-11-21 07:20:29,1713,23,1432,2
pydata/xarray,4250,2,366,106,2632,815,2013-09-30 05:21:10,2022-08-08 07:46:55,3329,860,3057,110
pycord-development/pycord,5434,28,363,31,2186,392,2021-08-28 04:18:37,2022-09-19 09:57:02,578,35,955,14
vinta/awesome-python,1628,2,363,5736,145416,22036,2014-06-27 09:00:06,2022-10-29 02:56:47,422,11,1710,278
ardupilot/ardupilot_wiki,6442,18,361,69,365,977,2015-01-08 02:39:11,2022-09-21 10:17:16,1535,140,3105,30
docker/docker-py,3286,23,360,197,5959,1599,2013-05-23 04:15:07,2022-10-12 05:13:21,1519,357,1522,58
azure/azure-cli-extensions,3109,51,359,163,245,725,2017-10-11 04:27:31,2022-08-22 08:39:12,1293,412,3962,79
conda/conda,16026,38,358,198,4856,1239,2012-10-15 10:08:03,2022-09-04 10:26:10,8569,905,3197,121
beetbox/beets,10712,27,357,418,11164,1752,2010-08-09 11:17:20,2022-09-29 12:33:09,2519,474,1703,22
nltk/nltk,14374,20,355,470,11243,2663,2009-09-07 10:53:58,2022-11-21 03:43:26,1656,224,1387,13
qiskit/qiskit-terra,6392,20,355,217,3366,1721,2017-03-03 05:02:42,2022-08-04 01:45:00,3259,661,5167,235
spotify/luigi,4061,1,355,485,16141,2351,2012-09-20 03:06:38,2022-11-22 12:56:59,950,77,2252,29
exercism/python,3571,9,354,120,1271,967,2014-02-28 03:48:58,2022-10-09 08:08:51,1050,53,2113,3
scikit-image/scikit-image,13246,16,353,186,5012,2037,2011-07-07 10:07:20,2022-08-15 06:29:41,2287,436,3790,194
python-pillow/pillow,13581,38,351,212,10053,1891,2012-07-24 09:38:39,2022-08-19 01:06:21,2583,99,3851,29
tornadoweb/tornado,4477,24,351,1007,20819,5482,2009-09-09 04:55:16,2022-10-25 08:01:23,1741,192,1445,25
googlecloudplatform/community,1438,9,349,200,1737,1638,2016-01-25 06:46:16,2022-11-02 04:27:49,708,32,1511,35
getredash/redash,7295,217,347,584,21834,3807,2013-10-28 01:19:39,2022-10-04 03:37:22,2232,492,3590,236
qutebrowser/qutebrowser,23744,50,344,174,8155,951,2014-06-26 02:59:34,2022-09-30 10:18:37,5025,1000,2006,76
liberapay/liberapay.com,18931,17,343,56,1295,202,2015-05-22 02:03:52,2022-10-22 07:56:23,1084,443,1085,19
microsoftdocs/visualstudio-docs,44839,78,337,105,883,1504,2016-11-14 07:36:53,2022-08-27 07:23:40,4649,107,3699,4
buildbot/buildbot,23053,17,334,205,4917,1610,2010-07-06 05:56:53,2022-10-28 07:53:51,1440,654,5161,16
cloud-custodian/cloud-custodian,3822,4,333,162,4270,1179,2016-03-01 01:11:20,2022-08-15 12:48:15,3467,931,3966,170
apache/libcloud,9498,28,331,87,1887,920,2009-12-11 09:00:14,2022-10-25 02:33:07,175,62,1617,11
paddlepaddle/docs,3485,30,329,77,148,425,2018-06-07 08:58:28,2022-10-01 08:58:54,727,424,4597,83
statsmodels/statsmodels,14715,18,328,271,7792,2581,2011-06-12 05:04:50,2022-10-03 09:21:24,4818,2260,3604,168
kivy/kivy,12685,82,328,613,15068,2931,2010-11-03 08:27:32,2022-09-30 07:29:11,4633,871,3356,74
nextcord/nextcord,4104,7,328,11,908,162,2021-08-28 01:02:33,2022-09-13 05:50:46,258,37,481,14
django-cms/django-cms,16042,25,327,412,8895,2825,2009-03-05 10:14:18,2022-09-20 01:38:28,3395,116,3965,27
shinya7y/universenet,2308,1,327,16,347,45,2020-05-13 07:23:43,2022-10-15 09:03:55,36,4,0,0
openstack/project-config,36443,1,326,20,111,115,2014-09-25 02:44:10,2022-08-02 07:49:39,0,0,4,0
mattermost/docs,12882,134,325,54,159,496,2015-11-19 09:48:32,2022-09-05 06:12:32,552,87,5332,17
secdev/scapy,6059,2,323,217,8010,1729,2015-10-01 05:06:46,2022-10-04 06:02:46,1361,36,2384,36
openstack/requirements,13059,12,322,25,125,228,2012-08-06 10:03:55,2022-10-03 11:59:50,0,0,54,0
openstack/python-openstackclient,5390,12,322,35,305,201,2012-04-28 09:07:25,2022-10-22 06:50:30,0,0,8,0
cookiecutter/cookiecutter-django,6081,12,319,194,9728,2484,2013-08-14 05:43:31,2022-09-19 09:11:52,1054,104,2782,33
psf/black,1383,13,319,220,28776,1827,2018-03-14 07:54:45,2022-08-08 08:05:18,2010,330,1171,30
rasahq/rasa,30433,489,317,340,14720,4085,2016-10-14 12:27:49,2022-08-22 09:16:56,6585,815,4862,89
kubeflow/pipelines,4504,171,317,102,2959,1303,2018-05-12 12:31:47,2022-09-05 08:38:14,2966,535,5256,207
ishaan28malik/hacktoberfest-2023,1091,8,317,3,527,1453,2018-10-16 08:38:31,2022-11-17 09:55:44,37,16,1830,403
openstack/tripleo-heat-templates,15445,3,314,30,148,185,2013-08-18 02:02:51,2022-07-29 11:50:25,0,0,6,0
openstack/openstacksdk,7009,14,314,42,224,186,2014-01-25 02:48:00,2022-09-30 08:59:38,0,0,12,0
manimcommunity/manim,5595,3,313,101,11249,964,2020-05-19 02:37:13,2022-09-23 08:00:49,1105,269,1699,30
disnakedev/disnake,4322,37,312,13,479,107,2021-08-28 10:24:13,2022-08-06 03:52:20,153,45,538,37
pydantic/pydantic,1436,10,312,89,11202,1056,2017-05-03 09:23:58,2022-10-04 12:21:38,1993,484,1723,17
ros/rosdistro,50350,4,311,62,703,2138,2012-01-11 12:13:17,2022-08-16 08:51:34,462,9,33729,23
openstack/ironic,12148,21,309,63,392,324,2013-05-14 10:28:24,2022-10-01 07:16:03,0,0,10,0
pypi/warehouse,6408,107,309,104,3040,890,2013-03-30 07:03:53,2022-09-06 10:56:11,2721,412,9280,80
biopython/biopython,15160,3,308,163,3253,1525,2009-03-15 09:09:53,2022-09-27 04:29:48,1421,398,2672,132
number5/cloud-init,5839,1,308,13,200,120,2012-11-16 06:37:33,2022-10-28 09:57:05,5,2,11,0
benoitc/gunicorn,2931,17,308,232,8628,1613,2009-11-30 06:18:08,2022-11-21 05:44:00,1878,326,1009,111
swcarpentry/python-novice-inflammation,2599,1,307,91,260,725,2014-11-25 11:05:27,2022-12-01 11:40:47,298,144,723,60
awslabs/open-data-registry,2749,12,304,62,1014,631,2017-08-07 09:49:09,2022-09-12 11:39:27,73,7,1459,12
flexget/flexget,15689,90,303,86,1493,471,2011-03-22 07:33:44,2022-11-18 05:07:46,1441,29,1970,14
openstack/heat,15954,10,302,77,380,343,2012-12-02 05:34:58,2022-10-13 12:00:15,0,0,16,0
spesmilo/electrum,15005,19,302,340,5908,2773,2012-08-02 04:24:30,2022-09-13 11:17:49,5878,951,1998,52
openstack/python-novaclient,3427,11,302,59,379,399,2011-11-16 04:58:41,2022-09-22 12:44:40,0,0,20,0
canonical/cloud-init,5759,48,299,51,1762,612,2014-10-08 03:54:41,2022-08-26 09:22:26,0,0,1688,14
celery/kombu,3436,30,299,78,2445,863,2010-06-23 10:10:24,2022-10-25 06:49:27,779,123,797,41
pallets/click,2194,12,299,183,13058,1287,2014-04-24 09:52:19,2022-10-12 04:36:37,1385,71,961,26
aws/aws-cli,10537,22,298,574,12834,3381,2012-11-20 04:07:36,2022-09-05 06:00:53,4006,464,3058,130
redis/redis-py,2041,12,295,332,10766,2219,2009-11-06 10:22:26,2022-09-23 02:19:05,1259,128,1137,28
mozilla/addons-server,54621,40,293,84,788,523,2014-01-31 06:44:15,2022-08-07 02:09:12,6819,162,12609,11
openstack/ceilometer,7146,11,293,71,303,333,2012-11-11 06:33:12,2022-11-01 02:47:17,0,0,7,0
openstack/rally,6093,1,293,70,314,285,2013-09-06 01:58:01,2022-07-22 02:08:15,0,0,30,0
facebookresearch/fairseq,2238,39,293,348,19266,4870,2017-08-29 04:26:12,2022-09-26 11:32:46,3589,681,1148,70
openstack/nova,59979,11,292,442,2879,2499,2010-07-22 02:04:27,2022-10-28 06:42:32,0,0,98,0
nexb/scancode-toolkit,9888,25,292,66,1533,450,2015-07-01 01:43:06,2022-09-15 06:59:31,1977,689,1077,16
isocpp/cppcoreguidelines,2058,13,292,1978,35730,4841,2015-08-19 08:22:52,2022-10-13 04:18:24,1021,186,947,8
openstack/manila,5825,9,290,30,142,119,2014-09-19 08:57:05,2022-11-17 04:05:21,0,0,6,0
openstack/swift,9912,20,288,324,2336,1057,2010-07-22 01:50:07,2022-09-30 02:16:47,0,0,33,0
aesara-devs/aesara,29762,3,287,22,778,123,2019-11-12 02:02:08,2022-09-05 04:09:26,537,229,573,38
ansible/awx,32057,42,286,373,11237,2877,2017-05-17 03:50:14,2022-08-08 03:00:02,7066,1342,5506,84
googleapis/google-cloud-python,9109,5,286,320,3991,1426,2014-01-28 03:51:47,2022-10-11 12:43:51,3374,25,6951,1
openstack/neutron,26411,10,284,282,1288,1453,2011-09-16 04:04:08,2022-08-24 02:10:07,0,0,58,0
mongoengine/mongoengine,3996,52,283,136,3892,1215,2012-03-05 12:10:20,2022-11-17 01:05:17,1631,355,1073,45
openstack/cinder,20116,11,282,151,602,886,2012-11-29 10:34:37,2022-10-08 06:32:34,0,0,65,0
openstack/horizon,16264,10,282,164,1251,1217,2011-10-28 01:12:05,2022-10-07 05:42:23,0,0,80,0
ronreiter/interactive-tutorials,1697,6,282,149,2958,2157,2013-11-03 04:41:29,2022-11-21 01:20:10,141,62,577,19
lauris/awesome-scala,1052,2,281,611,8556,1272,2014-07-08 08:13:52,2022-10-28 11:13:19,75,0,481,1
openstack/tempest,14361,1,280,68,348,488,2011-09-09 03:56:02,2022-09-17 05:54:11,0,0,33,0
flask-admin/flask-admin,2981,8,280,163,5174,1497,2012-03-18 11:21:57,2022-10-28 12:00:12,1334,370,961,67
mdn/kuma,17045,28,279,134,1941,743,2011-02-10 09:48:06,2022-08-29 02:57:57,1227,0,6695,0
sebastianruder/nlp-progress,790,1,279,1270,21081,3529,2018-06-22 05:43:55,2022-11-21 05:21:52,97,32,528,8
sagemath/sage,108715,3,278,131,1990,442,2012-06-08 10:11:02,2022-11-03 10:28:39,36,0,72,0
openstack/glance,7601,13,277,74,494,522,2011-08-04 03:05:19,2022-11-30 09:16:53,0,0,12,0
0xax/linux-insides,1906,1,277,1324,26781,3034,2015-01-03 06:44:57,2022-08-11 09:37:54,175,23,642,0
ckan/ckan,23726,164,275,192,3490,1780,2011-11-10 06:42:17,2022-08-06 12:36:52,2963,437,3828,148
datadog/dd-agent,8462,317,275,363,1262,853,2010-12-31 03:02:47,2022-08-16 01:26:07,1356,151,2561,37
pylons/pyramid,11776,17,274,159,3729,883,2010-10-24 10:00:35,2022-12-09 10:42:15,1043,74,2670,3
sanic-org/sanic,2721,14,274,415,16566,1476,2016-05-26 04:38:22,2022-11-03 11:58:40,1220,50,1371,9
pymedusa/medusa,17121,62,273,58,1507,264,2016-02-23 06:02:11,2022-10-26 06:54:20,5358,267,5315,36
mindspore-ai/models,3542,9,272,9,208,64,2021-10-15 06:38:37,2022-11-22 02:05:53,10,9,0,0
owasp/cheatsheetseries,1465,13,272,523,21792,3137,2018-12-21 02:26:43,2022-10-10 06:25:08,299,31,667,2
urllib3/urllib3,3825,8,271,101,3161,993,2011-09-18 06:08:28,2022-10-08 10:47:06,1038,101,1700,11
dask/distributed,4907,7,270,59,1393,644,2015-09-13 06:42:29,2022-09-11 02:51:55,2955,980,4007,256
pypa/packaging.python.org,1939,18,270,80,1161,595,2014-01-15 05:37:10,2022-10-31 05:40:44,366,109,768,10
xonsh/xonsh,10348,17,269,102,6333,578,2015-01-21 10:05:27,2022-09-29 11:56:29,2366,242,2479,6
datadog/integrations-extras,2346,194,269,188,175,467,2016-02-12 07:55:28,2022-10-03 08:56:59,80,10,1431,20
python-social-auth/social-app-django,2210,1,269,37,1714,332,2016-09-24 06:06:40,2022-10-27 10:39:11,265,125,103,4
aws/sagemaker-python-sdk,2663,10,268,120,1694,852,2017-11-14 01:03:33,2022-09-13 11:42:00,1086,358,2117,45
gnome/gnome-music,4754,111,267,19,119,78,2013-08-14 12:18:38,2022-09-05 02:21:05,0,0,15,0
stephenmcd/mezzanine,5304,3,265,255,4530,1616,2010-05-29 12:16:55,2022-11-17 07:11:47,1046,38,978,15
openembedded/openembedded-core,54870,41,262,50,287,450,2014-01-09 08:00:59,2022-10-05 07:27:37,0,0,74,24
pallets/jinja,2646,6,261,255,8798,1513,2010-10-17 01:41:17,2022-10-10 12:23:24,904,39,801,15
almas-ali/hacktoberfest_pattern_making,762,1,260,2,106,442,2021-10-06 04:41:56,2022-11-16 05:44:14,0,0,454,77
qtile/qtile,4757,2,259,99,3605,620,2008-08-30 12:16:40,2022-09-29 03:14:39,1632,189,1890,45
weechat/scripts,2065,2,258,24,203,206,2014-03-03 08:18:39,2022-11-10 09:15:16,163,89,353,1
openedx/configuration,13327,445,256,194,812,993,2013-04-16 05:23:42,2022-08-18 12:35:58,0,0,6332,79
galaxyproject/galaxy,61919,48,255,66,983,809,2015-02-23 02:18:06,2022-08-07 10:39:46,4755,1728,9622,188
hypothesisworks/hypothesis,12399,40,255,68,6214,526,2013-03-10 01:51:19,2022-09-22 01:01:19,1310,39,2147,2
pitivi/pitivi,8901,5,255,20,119,21,2013-05-04 03:14:42,2022-12-08 11:13:25,0,0,16,0
gnome/pitivi,8901,5,255,16,121,37,2012-06-03 03:32:08,2022-11-17 09:47:55,0,0,2,0
d2l-ai/d2l-en,5511,13,254,348,15047,3334,2018-10-09 01:04:37,2022-09-30 08:13:52,214,55,1975,14
allenai/allennlp,2718,27,254,280,11259,2227,2017-05-15 03:52:41,2022-10-28 03:20:22,2550,84,3095,11
ansible-community/molecule,2585,5,254,113,3422,584,2015-11-18 12:13:28,2022-09-16 07:39:54,1370,28,2018,2
streamlink/streamlink,4395,1,253,207,7922,922,2016-09-16 05:52:50,2022-09-30 04:32:29,2475,39,2053,3
gabomdq/sdl_gamecontrollerdb,1162,2,253,36,962,403,2013-11-27 07:42:39,2022-10-03 11:24:21,139,4,476,0
lutris/lutris,7825,40,252,134,5729,561,2013-10-08 04:37:26,2022-09-12 08:50:19,3043,247,1215,12
borgbackup/borg,7370,8,252,152,8772,654,2015-05-12 11:10:47,2022-11-03 05:58:20,3616,547,3388,15
electricitymap/electricitymap-contrib,3720,69,252,76,2421,696,2016-05-21 04:36:17,2022-08-06 10:44:30,2009,150,2313,25
python-diamond/diamond,3330,7,252,91,1686,598,2013-10-11 11:32:13,2022-10-15 03:45:27,236,66,529,72
chainer/chainer,30611,9,250,289,5732,1391,2015-06-05 05:50:37,2022-10-25 11:56:15,2042,12,6586,0
uberspace/lab,2030,5,250,27,285,331,2018-02-14 11:22:16,2022-10-28 11:03:10,509,150,823,20
therenegadecoder/sample-programs,4684,1,249,9,472,491,2018-03-15 09:23:05,2022-09-27 09:48:04,842,3,1397,0
pingcap/docs,4372,73,248,124,505,544,2016-07-23 02:39:04,2022-10-01 08:33:40,355,71,10018,96
sosreport/sos,4248,40,247,40,397,440,2011-07-11 04:58:15,2022-10-01 07:56:58,963,40,2074,15
django-oscar/django-oscar,8828,42,246,266,5501,2010,2010-12-08 09:30:32,2022-10-30 04:53:25,1432,134,2552,31
jupyterhub/jupyterhub,5900,6,246,269,6799,1767,2014-06-12 11:22:10,2022-09-26 01:43:32,2150,122,1841,24
paddlepaddle/models,4911,13,246,275,6664,2938,2017-04-20 01:30:15,2022-10-25 04:44:50,1970,689,3545,236
openbmc/openbmc,14491,9,245,225,1160,650,2015-09-15 07:51:42,2022-08-29 09:09:58,3599,43,277,0
cookiecutter/cookiecutter,2962,15,245,235,18284,1747,2013-07-14 06:31:22,2022-10-28 09:47:25,748,183,1015,61
swcarpentry/r-novice-gapminder,2747,15,245,26,147,490,2015-04-18 10:58:07,2022-11-07 04:23:48,324,25,484,10
tensorflow/datasets,4947,121,243,105,3346,1299,2018-09-10 09:27:22,2022-08-08 05:38:03,978,357,3061,243
openstack/magnum,5405,6,240,50,306,224,2014-11-07 10:08:50,2022-11-21 05:22:14,0,0,18,0
gitpython-developers/gitpython,2938,16,240,100,3736,807,2010-11-30 05:34:03,2022-11-17 06:30:14,856,132,516,1
guake/guake,2461,34,237,148,4043,613,2012-05-15 07:38:08,2022-10-31 09:41:02,1424,353,696,4
tox-dev/tox,2112,2,237,42,2999,429,2016-09-17 04:54:22,2022-09-30 06:45:16,1369,64,1051,4
d2l-ai/d2l-zh,3981,5,234,938,36032,8151,2017-08-23 04:40:24,2022-11-03 11:07:43,0,0,1209,13
jertel/elastalert2,3470,3,234,15,394,165,2020-09-01 03:21:42,2022-09-22 02:06:01,67,2,341,0
arrow-py/arrow,1378,23,234,133,8070,625,2012-11-18 08:23:27,2022-10-03 04:39:15,463,73,653,12
rq/rq,1669,11,233,212,8584,1319,2011-11-14 10:53:48,2022-10-28 07:23:31,985,188,715,15
ofirpress/attention_with_linear_biases,1876,1,232,8,186,16,2021-08-24 06:44:53,2022-09-01 06:54:08,9,1,1,0
aws/aws-sam-cli,1660,49,232,167,6089,1062,2017-05-23 06:16:23,2022-09-26 08:52:39,2177,404,1994,13
django/channels,1271,5,232,163,5421,742,2015-06-03 05:16:20,2022-10-10 08:08:34,1175,61,646,15
aws/serverless-application-model,902,24,230,309,8755,2247,2016-10-10 09:36:18,2022-10-02 11:07:25,1220,237,1104,9
cobbler/cobbler,9062,17,229,134,2338,632,2011-11-08 03:01:00,2022-10-27 02:36:31,1352,238,1828,15
electrumsv/electrumsv,10908,8,228,14,127,60,2019-01-07 01:18:52,2022-11-16 12:31:23,806,116,128,0
luong-komorebi/awesome-linux-software,1560,3,228,517,18045,1826,2016-08-06 01:16:29,2022-11-03 06:44:46,123,7,530,6
ghoseb/planet.clojure,1697,2,225,8,123,219,2009-12-28 09:58:25,2022-10-16 05:11:22,0,0,340,1
jupyter/nbconvert,3890,5,224,49,1383,501,2015-04-09 06:58:23,2022-09-28 10:29:01,1034,441,839,21
zappa/zappa,2994,18,224,31,1969,280,2020-07-14 07:14:50,2022-09-29 12:35:11,1066,446,112,35
jazzband/django-debug-toolbar,2405,5,224,107,7194,978,2008-08-28 06:58:04,2022-09-29 07:16:05,808,73,870,2
internetarchive/openlibrary,15501,125,222,150,3719,868,2008-10-30 05:20:14,2022-08-28 03:54:56,2966,677,3914,85
f-droid/fdroidserver,7395,3,222,26,236,62,2014-07-23 05:45:39,2022-10-02 09:16:15,0,0,3,0
vdigpku/cbnetv2,1692,1,221,11,320,55,2021-06-19 08:08:04,2022-11-19 05:14:42,58,40,1,0
netbox-community/devicetype-library,992,4,221,32,461,453,2019-09-25 06:09:29,2022-11-02 09:59:39,59,0,881,26
ceph/ceph-ansible,5965,68,219,141,1540,986,2014-03-03 05:12:09,2022-11-22 10:11:51,1356,4,5991,6
swisskyrepo/payloadsallthethings,1616,4,219,1596,42520,11402,2016-10-18 07:29:07,2022-11-03 11:34:19,0,0,506,5
netbox-community/netbox,10310,6,218,401,11049,1952,2016-02-29 02:15:46,2022-09-05 09:08:25,6940,199,1641,5
octoprint/octoprint,8483,25,218,353,6896,1575,2012-12-31 12:20:57,2022-10-02 09:33:33,3697,279,938,10
trezor/trezor-firmware,11371,148,217,56,889,525,2019-04-10 01:42:15,2022-08-25 07:31:56,1222,218,1223,35
tensorflow/tensor2tensor,4374,3,217,456,12708,3142,2017-06-15 04:57:39,2022-10-31 11:35:23,1238,568,668,15
easybuilders/easybuild-easyconfigs,46711,6,216,33,274,586,2012-10-15 02:32:53,2022-09-11 09:55:43,1243,512,15007,691
reviewboard/reviewboard,10684,17,216,100,1445,417,2009-08-22 09:39:49,2022-10-03 03:31:54,0,0,45,1
qgis/qgis-documentation,10849,16,213,41,316,560,2013-02-27 09:54:56,2022-08-26 06:08:22,2871,229,4865,35
pretix/pretix,9222,133,213,45,1302,352,2014-09-08 01:10:38,2022-10-03 08:00:27,1115,128,1536,27
openembedded/bitbake,8327,36,213,43,327,214,2011-05-03 11:32:08,2022-11-02 07:54:22,0,0,34,18
locustio/locust,3818,39,213,425,20045,2582,2011-02-17 11:08:03,2022-11-03 01:53:12,1378,9,856,0
soimort/you-get,2497,3,213,1382,46027,9089,2012-08-20 03:53:36,2022-11-18 04:05:59,0,0,1027,116
freedombox/freedombox,7915,6,211,35,159,109,2013-08-18 03:10:42,2022-10-27 07:44:46,0,0,551,0
ros2/ros2_documentation,1386,21,211,42,326,825,2018-09-10 07:49:17,2022-09-16 07:25:45,285,73,2738,30
wikimedia/pywikibot,16904,3,209,50,493,178,2013-06-19 04:18:45,2022-08-14 01:04:48,0,0,42,0
zigpy/zha-device-handlers,925,12,209,39,325,318,2018-11-18 02:48:54,2022-09-28 04:57:25,929,220,828,17
openstack/trove,4686,11,208,57,274,219,2013-06-14 09:58:08,2022-10-07 03:14:49,0,0,13,0
nodejs/node-gyp,1240,15,208,259,8659,1689,2012-02-03 05:50:50,2022-10-20 09:26:53,2032,147,664,30
openstack/openstack-ansible,7731,10,207,188,1316,668,2014-11-26 08:57:03,2022-09-27 02:04:57,0,0,31,0
google/big-bench,5848,6,207,32,1206,389,2021-01-15 11:28:20,2022-11-17 12:22:10,104,40,795,5
